Account,Date,Daily_Total_PnL,Classification
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,Extreme Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,Extreme Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3515.031065,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,0.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2517.787385,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1613.165903,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1245.51851,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,0.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,4493.232479,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,1047.030992,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,4842.054317,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,1693.493165,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,4221.156399,Extreme Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,0.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,6899.2458320000005,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,0.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,7372.485101,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,1162.002541,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,-12346.990829,Neutral
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,355.5854,Neutral
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,1129.8489260000001,Neutral
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,-6820.76955,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,0.0,Extreme Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2480.902379,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,-3169.3554679999997,Extreme Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,0.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,2099.019688,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,656.540742,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,-1065.797583,Extreme Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,1591.753271,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,-2315.377191,Neutral
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,0.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,-5018.466447,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,716.143949,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,0.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,0.0,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,-95.985744,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,-133.41237,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,951.934443,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,371.503,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,-1892.58947,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,3434.689308,Fear
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,2654.14315,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,1867.252909,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,1969.39321,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,-4648.8710550000005,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-27,0.0,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-30,5179.772745,Greed
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-05-01,1243.853569,Neutral
0x271b280974205ca63b716753467d5a371de622ab,2024-07-15,-1.0,Neutral
0x271b280974205ca63b716753467d5a371de622ab,2024-11-29,1584.342755,Extreme Greed
0x271b280974205ca63b716753467d5a371de622ab,2024-12-05,208.81746,Extreme Greed
0x271b280974205ca63b716753467d5a371de622ab,2025-04-09,16706.884912,Extreme Fear
0x271b280974205ca63b716753467d5a371de622ab,2025-04-10,13264.043303999999,Fear
0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,5942.547242,Fear
0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,8277.307357,Fear
0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,2638.012587,Fear
0x271b280974205ca63b716753467d5a371de622ab,2025-04-22,-19037.340561,Neutral
0x271b280974205ca63b716753467d5a371de622ab,2025-04-23,-108176.9187,Greed
0x271b280974205ca63b716753467d5a371de622ab,2025-04-24,8157.112326,Greed
0x271b280974205ca63b716753467d5a371de622ab,2025-04-25,0.0,Greed
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-16,159.100072,Extreme Greed
